gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1144888786	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/35964efce-bfa0-46c0-91fe-c3f6dab2e73c	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	MM	Pyin-Oo-Lwin (Maymyo), 6.8 mi. ENE, Yangon Monastary	bc092ff0-02e4-11dc-991f-b8a03c50a862	22.0675	96.56352			900.0				2003-08-12T02:00Z	12	8	2003	4264890	2438780	MATERIAL_SAMPLE	USNM	Mammals	11781635	JFJ-1139		CC_BY_NC_4_0		J. Jacobs & N. Woodman			2016-08-04T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
665766393	41fc5c40-5e81-496f-9733-6b5681b3b7a5	b633e187-cbb5-44df-8d06-02a4c903bf24	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	PH	Katipunan, Sigayan	7b8aff00-a9f8-11d8-944b-b8a03c50a862	8.5	123.25											4264890	2438780	PRESERVED_SPECIMEN	FMNH	Mammals	77090	657		CC0_1_0		D. S. Rabor			2016-08-03T17:46Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;RECORDED_DATE_UNLIKELY
665808163	41fc5c40-5e81-496f-9733-6b5681b3b7a5	0b714492-bb27-4811-85da-b22cdf1d347a	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	CN	Pu Hoo, ca 65 mi SE of Chongqing	7b8aff00-a9f8-11d8-944b-b8a03c50a862	28.91667	106.91667											4264890	2438780	PRESERVED_SPECIMEN	FMNH	Mammals	37775	a13		CC0_1_0		F. T. Smith			2016-08-03T17:46Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY;COORDINATE_ROUNDED
665812855	41fc5c40-5e81-496f-9733-6b5681b3b7a5	5c0d0567-46c3-4b72-959d-61a3fd578d6a	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	CN	Lu Chang Pu, 14 mi E Kao Ku, Wu R	7b8aff00-a9f8-11d8-944b-b8a03c50a862	29.41667	108.3											4264890	2438780	PRESERVED_SPECIMEN	FMNH	Mammals	40592	b314		CC0_1_0		F. T. Smith			2016-08-03T17:46Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY;COORDINATE_ROUNDED
665812912	41fc5c40-5e81-496f-9733-6b5681b3b7a5	9694849f-a525-42bd-bfdb-62d7ff0047f0	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	CN	Pien Ngai	7b8aff00-a9f8-11d8-944b-b8a03c50a862													4264890	2438780	PRESERVED_SPECIMEN	FMNH	Mammals	40648	d87		CC0_1_0		F. T. Smith			2016-08-03T17:46Z		RECORDED_DATE_UNLIKELY
665819037	41fc5c40-5e81-496f-9733-6b5681b3b7a5	71392fb2-aaeb-4701-932d-cefa6bef6e3d	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	PH	Palo	7b8aff00-a9f8-11d8-944b-b8a03c50a862	11.15	124.9834											4264890	2438780	PRESERVED_SPECIMEN	FMNH	Mammals	54049	223		CC0_1_0		H. H. Hoogstraal			2016-08-03T17:46Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;RECORDED_DATE_UNLIKELY
665838918	41fc5c40-5e81-496f-9733-6b5681b3b7a5	8f641fea-c7c5-439f-a15d-2bb6b058317d	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	IN	Naga Hills, Takubama	7b8aff00-a9f8-11d8-944b-b8a03c50a862													4264890	2438780	PRESERVED_SPECIMEN	FMNH	Mammals	76734			CC0_1_0		W. N. Koelz			2016-08-03T17:46Z		RECORDED_DATE_UNLIKELY
665894849	41fc5c40-5e81-496f-9733-6b5681b3b7a5	dda36ef8-537f-458f-86bf-ee75c348402c	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	PH	Magdiwang, 1 km S, 1.25 km E; Tampayan	7b8aff00-a9f8-11d8-944b-b8a03c50a862	12.4833	122.5166			10.0								4264890	2438780	PRESERVED_SPECIMEN	FMNH	Mammals	135736	3270		CC0_1_0		S. M. Goodman			2016-08-03T17:46Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;RECORDED_DATE_UNLIKELY
665906164	41fc5c40-5e81-496f-9733-6b5681b3b7a5	84fc8406-7702-4855-b9b1-75502313f7c1	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	NP	Kathmandu, Thamel	7b8aff00-a9f8-11d8-944b-b8a03c50a862	27.71667	85.31667			1311.0								4264890	2438780	PRESERVED_SPECIMEN	FMNH	Mammals	104271	478		CC0_1_0		C. O. Maser			2016-08-03T17:46Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY;COORDINATE_ROUNDED
888544347	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/321cc999d-47c3-4813-8a45-2b2b869783b3	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	AF	Jamajgal Village.	bc092ff0-02e4-11dc-991f-b8a03c50a862	35.14603	70.9005			2540.0				2007-12-01T01:00Z	1	12	2007	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	590802.10014910	ADNUR BV		CC_BY_NC_4_0		M. Ismail, M. Juma, A. Zaher & A. Quame			2016-08-04T02:05Z		GEODETIC_DATUM_ASSUMED_WGS84
